,doc,subtopic,topic
463,2017–18 Brown Bears women's basketball team,2018 Ivy League Women's Basketball Tournament,Concert
464,2017–18 Cornell Big Red women's basketball team,2018 Ivy League Women's Basketball Tournament,Concert
465,2017–18 Dartmouth Big Green women's basketball team,2018 Ivy League Women's Basketball Tournament,Concert
466,2017–18 Columbia Lions women's basketball team,2018 Ivy League Women's Basketball Tournament,Concert
467,2018–19 Princeton Tigers women's basketball team,2018 Ivy League Women's Basketball Tournament,Concert
468,2017–18 Penn Quakers women's basketball team,2018 Ivy League Women's Basketball Tournament,Concert
469,Francisco José Alcaraz,1987 Zaragoza Barracks bombing,Terrorist Attack
470,Zaragoza,1987 Zaragoza Barracks bombing,Terrorist Attack
471,Mutxamel bombing,1987 Zaragoza Barracks bombing,Terrorist Attack
472,Josu Urrutikoetxea,1987 Zaragoza Barracks bombing,Terrorist Attack
473,Ammonal,1987 Zaragoza Barracks bombing,Terrorist Attack
474,Henri Parot,1987 Zaragoza Barracks bombing,Terrorist Attack
475,Miracle in the Rain,18th Academy Awards,Awards
476,Harry M. Leonard,18th Academy Awards,Awards
477,John M. Stahl,18th Academy Awards,Awards
478,National Velvet (film),18th Academy Awards,Awards
479,Stairway to Light,18th Academy Awards,Awards
480,A Tree Grows in Brooklyn (1945 film),18th Academy Awards,Awards
481,Hitler Lives,18th Academy Awards,Awards
482,Sol Halperin,18th Academy Awards,Awards
483,Hitchhike to Happiness,18th Academy Awards,Awards
484,Ray Bomba,18th Academy Awards,Awards
485,Double Indemnity (film),18th Academy Awards,Awards
486,Khamsing Srinawk,Thammasat University massacre,Civilian Attack
487,Thammasat University,Thammasat University massacre,Civilian Attack
489,Hong Kong–Thailand relations,Thammasat University massacre,Civilian Attack
490,Communist insurgency in Thailand,Thammasat University massacre,Civilian Attack
491,Thanom Kittikachorn,Thammasat University massacre,Civilian Attack
492,Anti-communist mass killings,Thammasat University massacre,Civilian Attack
493,Kriangsak Chamanan,Thammasat University massacre,Civilian Attack
494,Puey Ungphakorn,Thammasat University massacre,Civilian Attack
495,Thirayuth Boonmee,Thammasat University massacre,Civilian Attack
496,Thai Nation Party,Thammasat University massacre,Civilian Attack
497,Somsak Jeamteerasakul,Thammasat University massacre,Civilian Attack
498,Sortelina Pires,1996 Summer Olympics opening ceremony,News Event
499,1996 Summer Olympics,1996 Summer Olympics opening ceremony,News Event
500,WGBA-TV,1996 Summer Olympics opening ceremony,News Event
501,Jessye Norman,1996 Summer Olympics opening ceremony,News Event
502,Justice Dipeba,1996 Summer Olympics opening ceremony,News Event
503,Thongdy Amnouayphone,1996 Summer Olympics opening ceremony,News Event
504,Javelin (Torke),1996 Summer Olympics opening ceremony,News Event
505,Magnum Band,1996 Summer Olympics opening ceremony,News Event
506,Nitsana Darshan-Leitner,Lod Airport massacre,Civilian Attack
507,Racial profiling,Lod Airport massacre,Civilian Attack
508,Palestinian fedayeen,Lod Airport massacre,Civilian Attack
509,475th Air Base Wing,1968 Tokachi earthquake,Earthquake
510,1994 offshore Sanriku earthquake,1968 Tokachi earthquake,Earthquake
511,Indo-Australian Plate,2012 Indian Ocean earthquakes,Earthquake
512,Indian Ocean Tsunami Warning System,2012 Indian Ocean earthquakes,Earthquake
513,2013 Aceh earthquake,2012 Indian Ocean earthquakes,Earthquake
514,Intraplate earthquake,2012 Indian Ocean earthquakes,Earthquake
515,2016 Sumatra earthquake,2012 Indian Ocean earthquakes,Earthquake
516,Shanxi University,Taiyuan massacre,Civilian Attack
517,Yuxian (Qing dynasty),Taiyuan massacre,Civilian Attack
518,Timothy Richard,Taiyuan massacre,Civilian Attack
519,Oklahoma,May 2016 North American storm complex,Flood
520,Heisei,2018 Japan floods,Flood
521,Ehime Prefectural Matsuyama Central Senior High School,2018 Japan floods,Flood
522,2018 Northeast Asia heat wave,2018 Japan floods,Flood
523,Godzilla: King of the Monsters (2019 film),L.A. Comic Con,News Event
524,Quantum Leap,L.A. Comic Con,News Event
525,Tenacious D in Post-Apocalypto,L.A. Comic Con,News Event
526,C. D. Kirven,L.A. Comic Con,News Event
527,Rylend Grant,L.A. Comic Con,News Event
528,Kellen Goff,L.A. Comic Con,News Event
529,Presidency of Ronald Reagan,Washington Summit (1987),Meetings
530,START (The Americans),Washington Summit (1987),Meetings
531,Reykjavík Summit,Washington Summit (1987),Meetings
532,Gabriele Gast,Washington Summit (1987),Meetings
533,Mulhouse–Habsheim Airport,Air France Flight 296,Airliner Accident
534,Germain Sengelin,Air France Flight 296,Airliner Accident
535,Indian Airlines Flight 605,Air France Flight 296,Airliner Accident
537,Fay Wray,70th Academy Awards,Awards
538,Cinema of Wales,70th Academy Awards,Awards
539,The Sweet Hereafter (film),70th Academy Awards,Awards
540,Miss Misery,70th Academy Awards,Awards
541,Either/Or (album),70th Academy Awards,Awards
543,Oscar and Lucinda (film),70th Academy Awards,Awards
544,Deborah Milner,70th Academy Awards,Awards
545,Three Summer Days,70th Academy Awards,Awards
546,Lapitch the Little Shoemaker,70th Academy Awards,Awards
547,72nd Academy Awards,70th Academy Awards,Awards
548,James Cameron,70th Academy Awards,Awards
549,As Good as It Gets,70th Academy Awards,Awards
550,Aaliyah,70th Academy Awards,Awards
551,One Night Stand (1997 film),70th Academy Awards,Awards
552,Heart of the Ocean,70th Academy Awards,Awards
553,Daire Nolan,70th Academy Awards,Awards
554,Bill Conti,70th Academy Awards,Awards
555,Con Air,70th Academy Awards,Awards
556,91st Academy Awards,70th Academy Awards,Awards
557,Face/Off,70th Academy Awards,Awards
558,Femina Miss India,Miss World 1966,Beauty Pageant
559,Marlène Talih,Miss World 1966,Beauty Pageant
560,India at Big Four international beauty pageants,Miss World 1966,Beauty Pageant
561,Reita Faria,Miss World 1966,Beauty Pageant
562,2003–04 Michigan State Spartans men's basketball team,2004 Big Ten Conference Men's Basketball Tournament,Concert
563,2004–05 Michigan State Spartans men's basketball team,2004 Big Ten Conference Men's Basketball Tournament,Concert
565,2003–04 Michigan Wolverines men's basketball team,2004 Big Ten Conference Men's Basketball Tournament,Concert
566,Al-Qaeda,1998 United States embassy bombings,Terrorist Attack
567,Economy of Kenya,1998 United States embassy bombings,Terrorist Attack
568,United States Agency for International Development,1998 United States embassy bombings,Terrorist Attack
569,Sudan,1998 United States embassy bombings,Terrorist Attack
570,"Embassy of the United States, Dar es Salaam",1998 United States embassy bombings,Terrorist Attack
571,Jesse Aliganga,1998 United States embassy bombings,Terrorist Attack
573,Ibrahim Eidarous,1998 United States embassy bombings,Terrorist Attack
574,Pakistan–United States relations,1998 United States embassy bombings,Terrorist Attack
575,Moussa Mohamed Kalifa,1998 United States embassy bombings,Terrorist Attack
576,Aftermath of the Gulf War,1998 United States embassy bombings,Terrorist Attack
577,Mustafa Mohamed Fadhil,1998 United States embassy bombings,Terrorist Attack
578,Prudence Bushnell,1998 United States embassy bombings,Terrorist Attack
579,War on Terror,1998 United States embassy bombings,Terrorist Attack
580,Adam Yahiye Gadahn,1998 United States embassy bombings,Terrorist Attack
581,Amr Hamed,1998 United States embassy bombings,Terrorist Attack
582,Co-operative Bank of Kenya,1998 United States embassy bombings,Terrorist Attack
583,"August 7th Memorial Park, Kenya",1998 United States embassy bombings,Terrorist Attack
584,Susan Linnee,1998 United States embassy bombings,Terrorist Attack
585,Terrorist Finance Tracking Program,1998 United States embassy bombings,Terrorist Attack
586,Technical Support Working Group,1998 United States embassy bombings,Terrorist Attack
587,Crime in Kenya,1998 United States embassy bombings,Terrorist Attack
588,Kenya–United States relations,1998 United States embassy bombings,Terrorist Attack
589,"Embassy of the United States, Nairobi",1998 United States embassy bombings,Terrorist Attack
590,1993 World Trade Center bombing,1998 United States embassy bombings,Terrorist Attack
591,"Embassy of the United States, Ottawa",1998 United States embassy bombings,Terrorist Attack
592,Morton Dean,1998 United States embassy bombings,Terrorist Attack
593,Tomahawk (missile),1998 United States embassy bombings,Terrorist Attack
594,Taliban,1998 United States embassy bombings,Terrorist Attack
596,Hostage Rescue Team,1998 United States embassy bombings,Terrorist Attack
597,USS Abraham Lincoln (CVN-72),1998 United States embassy bombings,Terrorist Attack
598,Sandy Berger,1998 United States embassy bombings,Terrorist Attack
599,Walid bin Attash,1998 United States embassy bombings,Terrorist Attack
600,From a Whisper,1998 United States embassy bombings,Terrorist Attack
601,Battle of El Adde,1998 United States embassy bombings,Terrorist Attack
602,United States Commercial Service,1998 United States embassy bombings,Terrorist Attack
603,Central Intelligence Agency,1998 United States embassy bombings,Terrorist Attack
605,BAPS Charities,1998 United States embassy bombings,Terrorist Attack
606,Essam Marzouk,1998 United States embassy bombings,Terrorist Attack
607,Henry Kosgey,1998 United States embassy bombings,Terrorist Attack
608,Al-Qaeda involvement in Africa,1998 United States embassy bombings,Terrorist Attack
609,Ahmad Shah Massoud,1998 United States embassy bombings,Terrorist Attack
610,Beastie Boys,1998 United States embassy bombings,Terrorist Attack
611,Bill Clinton,1998 United States embassy bombings,Terrorist Attack
612,City Hall station (IRT Lexington Avenue Line),1998 United States embassy bombings,Terrorist Attack
613,Ahmed Khadr,1998 United States embassy bombings,Terrorist Attack
614,United Nations Security Council Resolution 1189,1998 United States embassy bombings,Terrorist Attack
615,United Nations Security Council Resolution 1390,1998 United States embassy bombings,Terrorist Attack
616,Corinne Dufka,1998 United States embassy bombings,Terrorist Attack
617,Anti-Terrorism Act of 2001 (New York),1998 United States embassy bombings,Terrorist Attack
618,Joseph Ralston,1998 United States embassy bombings,Terrorist Attack
619,"Embassy of the United States, Berlin",1998 United States embassy bombings,Terrorist Attack
620,Hassan Ghul,1998 United States embassy bombings,Terrorist Attack
621,Egyptian Islamic Jihad,1998 United States embassy bombings,Terrorist Attack
622,Rifaat el-Mahgoub,1998 United States embassy bombings,Terrorist Attack
623,Gulf War,1998 United States embassy bombings,Terrorist Attack
624,Al-Shifa pharmaceutical factory,1998 United States embassy bombings,Terrorist Attack
625,Foreign policy of the Bill Clinton administration,1998 United States embassy bombings,Terrorist Attack
626,American military intervention in Somalia (2007–present),1998 United States embassy bombings,Terrorist Attack
627,John P. O'Neill,1998 United States embassy bombings,Terrorist Attack
628,Mansoor Ijaz,1998 United States embassy bombings,Terrorist Attack
629,Eric Holder,1998 United States embassy bombings,Terrorist Attack
630,Terrorism Suppression Act 2002,1998 United States embassy bombings,Terrorist Attack
631,Afghan Arabs,1998 United States embassy bombings,Terrorist Attack
632,Salafi jihadism,1998 United States embassy bombings,Terrorist Attack
633,International counter-terrorism activities of the CIA,1998 United States embassy bombings,Terrorist Attack
634,University of Islamic Studies,1998 United States embassy bombings,Terrorist Attack
635,William Cohen,1998 United States embassy bombings,Terrorist Attack
636,George Tenet,1998 United States embassy bombings,Terrorist Attack
637,United Nations Security Council Resolution 1388,1998 United States embassy bombings,Terrorist Attack
638,Operation Arabian Knight,1998 United States embassy bombings,Terrorist Attack
639,Aaron Zebley,1998 United States embassy bombings,Terrorist Attack
640,Arab Organization for Industrialization,1987 Arab League summit,Meetings
641,Don't Call Me Up,2019 Global Awards,Awards
642,Think About Us,2019 Global Awards,Awards
643,Zoella,2019 Global Awards,Awards
644,Australian hip hop,2014 G20 Brisbane summit,Meetings
645,Special forces of Australia,2014 G20 Brisbane summit,Meetings
646,Government radio networks in Australia,2014 G20 Brisbane summit,Meetings
647,Katarina Carroll,2014 G20 Brisbane summit,Meetings
648,Alvin Cheng,2014 G20 Brisbane summit,Meetings
649,Special Emergency Response Team (Queensland),2014 G20 Brisbane summit,Meetings
650,"South Bank, Queensland",2014 G20 Brisbane summit,Meetings
651,History of Australia,2014 G20 Brisbane summit,Meetings
652,2014 New Zealand general election,2014 G20 Brisbane summit,Meetings
653,Presidency of Jomo Kenyatta,1964 Commonwealth Prime Ministers' Conference,Meetings
654,Jomo Kenyatta,1964 Commonwealth Prime Ministers' Conference,Meetings
655,Joe Biden 2008 presidential campaign,Darfur genocide,Civilian Attack
656,Ed Royce,Darfur genocide,Civilian Attack
657,History of Sweden (1991–present),Darfur genocide,Civilian Attack
658,"Temple Emanuel (Kensington, Maryland)",Darfur genocide,Civilian Attack
659,Foreign relations of Libya under Muammar Gaddafi,Darfur genocide,Civilian Attack
660,Bernard-Henri Lévy,Darfur genocide,Civilian Attack
661,Harry Reid,Darfur genocide,Civilian Attack
662,Julia Willebrand,Darfur genocide,Civilian Attack
663,Harvard University,Darfur genocide,Civilian Attack
664,Chuck Schumer,Darfur genocide,Civilian Attack
665,2019 Western Libya offensive,Darfur genocide,Civilian Attack
666,2014–15 Florida Gators women's basketball team,2014 SEC Women's Basketball Tournament,Concert
667,2013–14 Florida Gators women's basketball team,2014 SEC Women's Basketball Tournament,Concert
668,2013–14 Texas A&M Aggies women's basketball team,2014 SEC Women's Basketball Tournament,Concert
669,2013–14 Southeastern Conference women's basketball season,2014 SEC Women's Basketball Tournament,Concert
670,2013–14 Kentucky Wildcats women's basketball team,2014 SEC Women's Basketball Tournament,Concert
671,California State Route 140,Ferguson Fire,Wildfire
672,Camp Tawonga,Ferguson Fire,Wildfire
673,MDK (community),October 2013 Volgograd bus bombing,Terrorist Attack
675,Concerns and controversies at the 2014 Winter Olympics,October 2013 Volgograd bus bombing,Terrorist Attack
676,Ones (album),Murder of Selena,Civilian Attack
677,I Could Fall in Love,Murder of Selena,Civilian Attack
678,Amor Prohibido,Murder of Selena,Civilian Attack
679,Dreaming of You (Selena album),Murder of Selena,Civilian Attack
680,Selena y Los Dinos,Murder of Selena,Civilian Attack
681,Astrodome,Murder of Selena,Civilian Attack
682,Donde Quiera Que Estés,Murder of Selena,Civilian Attack
683,José Behar,Murder of Selena,Civilian Attack
684,Trial of Yolanda Saldívar,Murder of Selena,Civilian Attack
685,Live! The Last Concert,Murder of Selena,Civilian Attack
686,All My Hits Vol. 2,Murder of Selena,Civilian Attack
687,Dreaming of You (Selena song),Murder of Selena,Civilian Attack
688,Bidi Bidi Bom Bom,Murder of Selena,Civilian Attack
689,Yolanda Saldívar,Murder of Selena,Civilian Attack
690,Chris Pérez,Murder of Selena,Civilian Attack
691,The Billboard Guide to Tejano and Regional Mexican Music,Murder of Selena,Civilian Attack
692,Missing My Baby,Murder of Selena,Civilian Attack
693,Selena Etc.,Murder of Selena,Civilian Attack
694,2015 Tejano Music Awards,Murder of Selena,Civilian Attack
695,Bobby Pulido,Murder of Selena,Civilian Attack
696,Como Te Extraño,Murder of Selena,Civilian Attack
697,Ven Conmigo (album),Murder of Selena,Civilian Attack
698,Fotos y Recuerdos,Murder of Selena,Civilian Attack
699,Dame Tu Amor (song),Murder of Selena,Civilian Attack
700,Tejano Music Award for Female Vocalist of the Year,Murder of Selena,Civilian Attack
702,Latin music,Murder of Selena,Civilian Attack
703,Pete Astudillo,Murder of Selena,Civilian Attack
704,12 Super Éxitos,Murder of Selena,Civilian Attack
705,Zika virus,2007 Yap Islands Zika virus outbreak,News Event
706,Zika fever,2007 Yap Islands Zika virus outbreak,News Event
707,I Am... Sasha Fierce,BET Awards 2010,Awards
708,My Chick Bad,BET Awards 2010,Awards
709,A Star Is Born (Jay-Z song),BET Awards 2010,Awards
710,Eminem,BET Awards 2010,Awards
